Want,Like,Accommodation,TotalPrice,Rating,Rate,RatePercent,CleaningFee,AirbnbFee,FeeTotal,FeePercent,BedroomCount,Wifi,AC,TV,TV2,Sqm,Floor,CeilingHeight
,,Home in Bucaramanga,161,4.9,41,0.7701863354,14,23,37,0.2298136646,,1,1,,,,,
,,Apartment in Bucaramanga,165,4.8,41,0.7515151515,18,23,41,0.2484848485,2.5,1,1,,,,,
,,Apartment in Bucaramanga,138,4.64,41,0.8985507246,14,0,14,0.1014492754,,1,1,,,,,
,,Apartment in Floridablanca,144,4.64,41,0.8611111111,0,20,20,0.1388888889,,1,1,,,,,
,,Apartment in Floridablanca,142,4.63,41,0.8732394366,18,0,18,0.1267605634,2,1,1,,,,,
,,Apartment in Floridablanca,173,5,50,0.8612716763,0,24,24,0.1387283237,1.5,1,1,,,,,
,,Apartment in Bucaramanga,163,4.88,50,0.9141104294,14,0,14,0.08588957055,1,1,1,,,,,
,,Apartment in Bucaramanga,179,5,46,0.9608938547,16,25,41,0.2290502793,2,1,1,,,,,
,,Apartment in Floridablanca,200,4.83,57,0.86,0,28,28,0.14,,1,1,,,,,
,,Apartment in Bucaramanga,184,4.73,57,0.9347826087,12,0,12,0.0652173913,,1,1,,,,,
,,Apartment in Bucaramanga,185,5,53,0.8594594595,0,26,26,0.1405405405,,1,1,,,,,
,,Home in Girón,185,4.86,53,0.8594594595,0,26,26,0.1405405405,1,1,1,,,,,
,,Loft in Bucaramanga,185,5,59,1.059459459,9,0,9,0.04864864865,1,1,1,,,,,
,,Dome in Bucaramanga,208,5,60,0.8605769231,0,29,29,0.1394230769,,1,1,,,,,
,,Apartment in Bucaramanga,227,4.81,60,0.7885462555,16,32,48,0.2114537445,2.5,1,1,,,,,
,,Home in Floridablanca,260,5,74,0.8576923077,0,37,37,0.1423076923,3,1,1,,,,,
,,Condo in Bucaramanga,292,5,80,0.8219178082,16,36,52,0.1780821918,,1,1,,,,,
,,Apartment in Floridablanca,299,5,81,0.8127090301,14,42,56,0.1872909699,,1,1,,,,,
,,Home in Loma Mesa de Ruitoque,319,5,85,0.802507837,18,45,63,0.197492163,2.5,1,1,,,,,
,,Condo in Floridablanca,321,5,92,0.8598130841,0,45,45,0.1401869159,2,1,1,,,,,
,,Tiny home in Floridablanca,354,5,101,0.8587570621,0,50,50,0.1412429379,1,1,1,,,,,
,,Home in La Parcela,397,5,101,0.765743073,37,56,93,0.234256927,,1,1,,,,,
,,Apartment in Floridablanca,494,5,138,0.8380566802,10,70,80,0.1619433198,2,1,1,,,,,
,,Houseboat in Lebrija,503,5,144,0.8588469185,0,71,71,0.1411530815,2.5,1,1,,,,,
,,Cottage in Floridablanca,621,5,172,0.8325281804,16,88,104,0.1674718196,4,1,1,,,,,
,,Apartment in Bucaramanga,112,4.98,29,0.7678571429,10,16,26,0.2321428571,1,1,1,,,,,
,,Apartment in Floridablanca,112,4.94,29,0.7678571429,10,16,26,0.2321428571,1,1,1,,,,,
,,Apartment in Bucaramanga,114,4.87,29,0.7543859649,12,16,28,0.2456140351,,1,1,,,,,
,,Apartment in Bucaramanga,109,4.83,29,0.7889908257,8,15,23,0.2110091743,1,1,1,,,,,
,,Apartment in Floridablanca,118,4.82,29,0.7288135593,15,17,32,0.2711864407,1,1,1,,,,,
,,Apartment in Bucaramanga,104,4.74,29,0.8269230769,5,13,18,0.1730769231,1,1,1,,,,,
,,Apartment in Bucaramanga,114,4.69,29,0.7543859649,12,16,28,0.2456140351,,1,1,,,,,
,,Apartment in Bucaramanga,119,4.67,29,0.7226890756,16,17,33,0.2773109244,,1,1,,,,,
,,Apartment in Piedecuesta,145,4.98,39,0.8137931034,7,20,27,0.1862068966,,1,1,,,,,
,,Condo in Bucaramanga,79,4.97,23,0.8607594937,0,11,11,0.1392405063,,1,1,,,,,
,,Apartment in Floridablanca,79,4.94,23,0.8607594937,0,11,11,0.1392405063,2,1,1,,,,,
,,Apartment in Bucaramanga,93,4.83,23,0.7311827957,12,13,25,0.2688172043,,1,1,,,,,
,,Apartment in Bucaramanga,95,4.67,23,0.7157894737,14,13,27,0.2842105263,,1,1,,,,,
,,Apartment in Bucaramanga,90,4.64,23,0.7555555556,9,13,22,0.2444444444,,1,1,,,,,
,,Apartment in Bucaramanga,70,4.96,18,0.7857142857,5,10,15,0.2142857143,,1,1,,,,,
,,Loft in Bucaramanga,48,4.85,14,1.145833333,0,7,7,0.1458333333,,1,1,,,,,
,,Apartment in Bucaramanga,64,4.82,18,0.859375,0,9,9,0.140625,,1,1,,,,,
,,Apartment in Bucaramanga,73,4.81,18,0.7534246575,8,10,18,0.2465753425,,1,1,,,,,
,,Loft in Bucaramanga,70,4.77,18,0.7857142857,5,10,15,0.2142857143,,1,1,,,,,
,,Apartment in Floridablanca,51,,15,1.078431373,0,7,7,0.137254902,,1,1,,,,,
,,Apartment in Floridablanca,158,4.96,38,0.7215189873,22,22,44,0.2784810127,,1,1,,,,,
,,Condo in Bucaramanga,149,4.89,38,0.7651006711,14,21,35,0.2348993289,2,1,1,,,,,
,,Apartment in Bucaramanga,148,4.88,38,0.7702702703,13,21,34,0.2297297297,1,1,1,,,,,
,,Apartment in Bucaramanga,95,4.93,27,0.8631578947,0,13,13,0.1368421053,,1,1,,,,,
,,Loft in Bucaramanga,176,4.93,47,0.8011363636,10,25,35,0.1988636364,,1,1,,,,,
,,Apartment in Floridablanca,172,4.82,47,0.8197674419,7,24,31,0.1802325581,,1,1,,,,,
,,Apartment in Bucaramanga,205,4.93,54,0.7902439024,14,29,43,0.2097560976,,1,1,,,,,
,,Home in Bucaramanga,400,4.93,99,0.745,46,56,102,0.255,4,1,1,,,,,
,,Apartment in Bucaramanga,129,4.92,33,0.7674418605,12,18,30,0.2325581395,1,1,1,,,,,
,,Condo in Bucaramanga,138,4.7,33,0.7173913043,22,17,39,0.2826086957,1.5,1,1,,,,,
,,Apartment in Bucaramanga,135,4.57,33,0.7333333333,17,19,36,0.2666666667,1,1,1,,,,,
,,Condo in Bucaramanga,187,4.92,48,0.7700534759,20,23,43,0.2299465241,,1,1,,,,,
,,Apartment in Cañaveral,144,4.57,48,1,0,0,0,0,1,1,1,,,,,
,,Loft in Bucaramanga,194,4.92,63,1.072164948,7,0,7,0.03608247423,1,1,1,,,,,
,,Condo in Bucaramanga,225,4.92,59,0.7866666667,16,32,48,0.2133333333,1,1,1,,,,,
,,Apartment in Floridablanca,131,4.91,33,0.7633587786,13,18,31,0.2366412214,,1,1,,,,,
,,Condo in Floridablanca,133,4.83,33,0.7518796992,14,19,33,0.2481203008,,1,1,,,,,
,,Apartment in Floridablanca,127,4.71,33,0.7874015748,9,18,27,0.2125984252,,1,1,,,,,
,,Apartment in Floridablanca,113,,33,0.8849557522,13,0,13,0.1150442478,1,1,1,,,,,
,,Apartment in Bucaramanga,169,4.91,44,0.775147929,14,24,38,0.224852071,,1,1,,,,,
,,Apartment in Floridablanca,169,4.85,44,0.775147929,14,24,38,0.224852071,1,1,1,,,,,
,,Apartment in Bucaramanga,147,4.7,44,0.8911564626,16,0,16,0.1088435374,,1,1,,,,,
,,Cabin in Floridablanca,169,,44,0.775147929,14,24,38,0.224852071,,1,1,,,,,
,,Apartment in Bucaramanga,137,4.9,36,0.795620438,9,19,28,0.204379562,,1,1,,,,,
,,Apartment in Bucaramanga,118,4.86,36,0.9237288136,9,0,9,0.07627118644,,1,1,,,,,
,,Condo in Bucaramanga,171,4.9,43,0.7543859649,21,21,42,0.2456140351,,1,1,,,,,
,,Loft in Bucaramanga,105,4.89,28,0.7904761905,7,15,22,0.2095238095,,1,1,,,,,
,,Apartment in Bucaramanga,112,4.89,28,0.7410714286,13,16,29,0.2589285714,2,1,1,,,,,
,,Apartment in Floridablanca,113,4.87,28,0.7345132743,14,16,30,0.2654867257,,1,1,,,,,
,,Apartment in Bucaramanga,112,4.86,28,0.7410714286,13,16,29,0.2589285714,2.5,1,1,,,,,
,,Apartment in Bucaramanga,112,4.83,28,0.7410714286,13,16,29,0.2589285714,2,1,1,,,,,
,,Condo in Bucaramanga,102,4.81,28,0.8137254902,5,14,19,0.1862745098,,1,1,,,,,
,,Apartment in Bucaramanga,107,4.81,28,0.7757009346,9,15,24,0.2242990654,,1,1,,,,,
,,Apartment in Bucaramanga,112,4.79,28,0.7410714286,13,16,29,0.2589285714,2,1,1,,,,,
,,Apartment in Bucaramanga,91,4.76,28,0.9120879121,8,0,8,0.08791208791,,1,1,,,,,
,,Apartment in Bucaramanga,91,4.73,28,0.9120879121,8,0,8,0.08791208791,,1,1,,,,,
,,Apartment in Bucaramanga,97,,28,0.8556701031,0,14,14,0.1443298969,,1,1,,,,,
